review,label
距离 川沙 公路 较近 公交 指示 蔡陆线 麻烦 建议 路线 房间 较为简单,1
商务 大床 房 房间 很大 床有 M 宽 整体 感觉 经济 实惠 不错,1
早餐 太 差 不加 食品 酒店 重视 房间,1
宾馆 街道 不大好 找 还好 北京 热心 同胞 宾馆 设施 介绍 房间 很小 确实 低价位 因素 无超 所值 环境 不错 胡同 安静 整洁 暖气 好足 一大 优势 是从 宾馆 出发 步行 不到 十分钟 梅兰芳 故居 京味 胡同 北海 距离 好近 不错 推荐 节约 消费 自助游 朋友 划算 特色小吃,1
CBD 中心 没什么 店铺 说星 勉强 卫生间 电吹风,1
酒店 配 价格 算 希望 装修 客人 留些 印象,1
价格比 不错 酒店 免费 升级 感谢 前台 服务员 房子 还好 地毯 新 上次 好些 早餐 早,1
不错 同等 档次 酒店 中 值得 推荐,1
入住 丽晶 感觉 新 酒店 淡淡的 油漆味 房间内 新 房间 大小 合适 卫生间 设备齐全 服务态度 网速 提升 感觉 还好 免费 插 线板 水果刀 一系列 日常用品 免费 提供 细心 晚上 自助餐 每人 菜品 酒店 外有 西贝筱面 几家 饭馆 西贝 菜 实在 量 惊人 人多 酒店 吃 西贝 吃 酒店 点有 广式 晚 茶 吃 几次 味道 正宗 点心 品种 略少哈 酒店 地处 青山区 包头 分昆区 青山区 相对来说 昆区 繁华 青山区 次之 包百等 商场 全在 昆区 酒店 打车 包百 商圈 车费 元多 青山区 王府井 百货 相对来说 包百 商圈 酒店 打车 元多 银河 广场 酒店 一段距离 打车 银河 广场 边上 科丽珑 小时 营业 超市 酒店 一楼 小卖部 超市 住 正赶上 几家 公司 开会 楼道 里略 吵 晚上 几次 有人 敲 错门 理论 酒店 管理 没关系 希望 会议 团体 住 一层 也许 好些 总体 感觉 丽晶 包头 还会 住,1
酒店 新 装潢 设施 不错 房间 油漆味 早餐 品种 交通 饭店,1
住 特色 标间 特色 类似 家 感觉 寝具 单调 白色 条纹 格子 感觉 温馨 圈儿 椅 靠垫 卡通 加菲猫 头明 黄 颜色 扎眼 配在一起 感觉 协调 客房 硬件 评价 分 加湿器 烫衣 板 电熨斗 吹风机 冰箱 俱全 缺点 液晶电视 固定 墙上 位置 不好 一是 遮挡 电源插座 二是 桌子 搭配 不当 桌子 冰箱 柜 一体 电视 下方 坐在 桌子 旁 上网 工作 学习 正好 挡住 电视屏幕 错开 坐 正好 冰箱 柜 腿脚 伸不开,1
早餐 服务 热情 早上 很早 退房 时 前台 值此 人员 办理手续,1
行政 大床 总体 感觉 不错 价格 稍许 高 点 旁边 有个 五星 豪华 客房 估计 小天鹅 房型 住 房间 实在 差 住 选 行政 大床,1
好像 跟洪 崖洞 酒店 公司 房间 风格 接近 整体 不错 房间内 食品 免费 实在 早餐 实在 不敢恭维 大堂 环境 差 整体 不错 三星级 酒店,1
前台 楼层 服务员 不错 房间 安静 整洁 交通 吃 唯一 卫生间 地漏 设计 不好 导致 少量 积水,1
宾馆 总体 感觉 不错 价格 出行 购物 订机票 国航 右边 房间 电脑 免费 上网 地方 补充 点评 年月日 机场 机场 大巴 半个 小时 一趟,1
价格 偏高 服务 窗外 风景 ok 早餐 不错,1
酒店 申定 五星 中 四星 勉强 大堂 气派 细节 粗糙 硬件 服务 人员 礼貌 热情 酒店 房间 早餐 不错,1
闹中取静 地方 窗前 不错 风景 酒店 价格 偏高,1
价格 偏高 连云港 地方 酒店 偏贵 早饭 不好 房间 不错 窗外 风景 还行 房间 窗户 隔音 床小 明珠 万豪 床 好些,1
网线 接口 高家庄 地道口 隐蔽 床头柜 想不道 自带 米 网线 自带 板凳 房间 垃圾桶 翻过来 坐,1
沈阳市政府 酒店 大气 交通 便利 出门 左 北陵 公园 环境,1
政府 酒店 感觉 气派 干净 酒店 房间 布局 整齐 月份 入住 第一天 房间 上网 前台 协调 换 一间 上网 帮忙 调试 笔记本 服务 周到 正好 住 两天 有人 结婚 感觉 酒店 一楼 宴会厅 适合 婚礼,1
总体 前台 服务员 敬业 登记 入住 客人 护照 幸亏 旁边 不知 后果 声 不好意思 对不起 希望 改进,1
月 下旬 丹东 携程网 预定 丹东 国际 酒店 天 住宿 日 傍晚 抵 丹东 打车 酒店 丹东 城市 不大一 国际 酒店 司机 酒店 一条 不起眼 街上 周围环境 总台 一问 接待员 收到 携程 预定 手机 收到 携程 确认 短信 接待员 携程 预定 价住 鸭绿江 房间 接待 查 电脑 房间 点 没关系 反正 人住 安排 层 接待员 真 客人 看江 进 房间 窗外 一看 蜿蜒 鸭绿江 眼前 朝鲜 一侧 房屋 农田 清晰可见 稍 远处 隐约可见 鸭绿江 桥 房间 略显 旧 床 整洁 干净 江景 房 性价比 超值 想当年 国际 酒店 丹东 数一数二 装修 比不上 新开业 大堂 不太 光亮 楼层 电梯 口 开 一小部分 灯光 服务 不错 服务员 客人 问好 特别 值得一提的是 楼 旋转 餐厅 深圳 国贸 上海 新锦江 顶楼 旋转 餐厅 相比 拼 丹东 边境 城里 自助 早餐 丰盛 面对 鸭绿江 饱览 异国风光 农田 沙洲 景色 丹东 国际 酒店 天 停留 留下来 不错 印象,1
